"ind","catg","headline","body","imageurl","readmoreurl","inblockId"
"17","science","Astronomers slam launch of 'disco-ball' satellite","Astronomers worldwide have criticised the launch of 'disco-ball' satellite, saying its high reflectance would interfere with the study of the night sky. Launching such satellites ""would bring astronomers on the street,"" said a New Zealand-based astronomer. While other researchers said, ""intentionally bright long-term space graffiti"" and ""Another invasion of my personal universe"".","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/26jan/inshorts_image_1516958483333_516.jpg?resize=400px:*","https://www.theguardian.com/world/2018/jan/26/space-graffiti-astronomers-angry-over-launch-of-fake-star-into-sky?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","havrsmkb-1"
"18","science","Discovery on world's rarest fish doubles known population","A team of divers have discovered around 20-40 individuals of red handfish, believed to be the world's rarest fish, off Australian coast. Until the discovery, only one other population with the same number of fish had been identified nearby. As the fish walk on the seafloor instead of swimming, each site's area was limited to 50 metres by 20 metres. ","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/26jan/inshorts_image_1516968542896_762.jpg?resize=400px:*","http://www.media.utas.edu.au/general-news/all-news/new-population-of-worlds-rarest-fish-discovered-off-tasmanian-coast?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","havrsmkb-1"
"19","science","Hepatitis C drug may also be effective against Zika: Study","US-based scientists have found that a drug used to treat Hepatitis C may also be effective in treating people infected with Zika virus. The drug effectively rescued Zika-affected neural cells while also blocking transmission of the virus to mice foetuses. Scientists worldwide are working on a Zika vaccine, which the team said had ""promising early results"".","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/27jan/inshorts_image_1517039279174_135.jpg?resize=400px:*","https://www.hindustantimes.com/fitness/hepatitis-c-drug-may-also-be-effective-against-zika-virus/story-dEK36lFXOdQDc4PBgcJxeI.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","havrsmkb-1"
"20","science","Using Sun-dimming chemicals to slow warming not feasible: UN","The idea of spraying Sun-dimming chemicals in the Earth's atmosphere to slow global warming faces may not be feasible, as per a leaked United Nations report citing safety concerns. The chemicals could disrupt global weather patterns and halting them after several years could lead to high-temperature rise because greenhouse gases would continue to build up in the atmosphere, report mentioned.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/30jan/inshorts_image_1517291419391_753.jpg?resize=400px:*","https://uk.reuters.com/article/uk-climatechange-sunshade/chemical-sunshade-to-slow-warming-may-not-be-feasible-u-n-draft-idUKKBN1FF1CJ?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","havrsmkb-1"
"21","science","Scientists decipher 2,000-year-old Dead Sea scroll","Israel-based researchers have deciphered one of the last sea scrolls that were found in the 1940s and 1950s near the Dead Sea shore. Spending an entire year, researchers assembled more than 60 fragments of the coded document written over 2,000 years ago. The cipher gave fresh insight into the unusual 364-day calendar used by a Jewish sect, said researchers.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/25jan/inshorts_image_1516883686887_675.jpg?resize=400px:*","https://www.rt.com/news/416917-dead-sea-scroll-deciphered/?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","havrsmkb-1"
"22","science","Egyptian dinosaur shows ancient link between Africa, Europe","Scientists have discovered a long-necked plant-eating dinosaur with bony skin plates in Egypt dating back 80 million years ago. The discovery of such rare fossils helps understand how creatures moved across Africa and Europe, earlier joined by the supercontinent Pangaea, said researchers. The species was named Mansourasaurus shahinae, after Mansoura University and researcher Mona Shahin. ","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/30jan/inshorts_image_1517304871631_205.jpg?resize=400px:*","https://phys.org/news/2018-01-egyptian-dinosaur-reveals-ancient-link.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","havrsmkb-1"
"23","science","Icy ponds on Himalayan glaciers influence water flow: Study","UK-based scientists have shown that icy ponds, which form on debris-covered Himalayan glaciers, control the rate at which meltwater flows downstream. The team monitored meltwater runoff from Khumbu Glacier, which descends from Mount Everest, for nearly 200 days. They found its volume was inconsistent with solar radiation and temperature cycles, understanding which was crucial to water security.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/30jan/inshorts_image_1517288729582_692.jpg?resize=400px:*","https://www.indiatoday.in/pti-feed/story/icy-ponds-on-himalayan-glaciers-influence-water-flow-study-1156711-2018-01-29?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","havrsmkb-1"
"24","science","33% corals in Asia-Pacific entangled with plastic: Survey","Scientists examining over 1,24,000 corals across the Asia-Pacific region have found plastic on one-third of the 159 reefs, with Indonesia having the most plastic and Australia the least. Researchers further found the likelihood of coral disease increased to 89% from 4% in the presence of plastic. The survey estimated over 11 billion items from Q-tips to bags in the area.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/26jan/inshorts_image_1516971749541_812.jpg?resize=400px:*","https://www.theverge.com/2018/1/25/16929004/plastic-pollution-coral-reefs-disease-bleaching-climate-change?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","havrsmkb-1"
"25","science","Kalpana Chawla inspired women all over the world: PM Modi","Remembering Kalpana Chawla during the 40th edition of 'Mann ki Baat', Prime Minister Narendra Modi said she has inspired women all over the world. Adding that it was sad to lose Chawla at a young age, PM Modi said she had given the message that there was no limit to ""Nari Shakti"". Chawla had died during a space shuttle mishap. ","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/28jan/inshorts_image_1517124827318_411.jpg?resize=400px:*","https://www.hindustantimes.com/india-news/mann-ki-baat-live-pm-narendra-modi-to-address-nation-on-his-monthly-radio-show/story-Sa1p26CzHhJc81pj1IfSFL.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","havrsmkb-1"
"26","science","Monkeys born using cloning method that created Dolly the sheep","Two macaque monkeys have become the first primates to be cloned using the same approach that produced Dolly the sheep, the first mammal cloned from an adult somatic cell. The monkeys were named Zhong Zhong and Hua Hua after their birthplace China (Zhonghua in Mandarin). Scientists used cell and egg from two monkeys while the embryo was placed in another.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/25jan/inshorts_image_1516850683880_713.jpg?resize=400px:*","https://www.theguardian.com/science/2018/jan/24/zhong-zhong-and-hua-hua-first-primates-born-using-dolly-the-sheep-cloning-method?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","xm9qqd0a-1"
"27","science","Homi Bhabha chaired 1st ever UN meet on atomic energy","Padma Bhushan-awardee Homi J Bhabha is known for spearheading India's Nuclear Programme under the leadership of the then PM Jawaharlal Nehru. In 1955, Bhabha was elected the President of the first international conference on the Peaceful Uses of Atomic Energy, organised by the United Nations. Dr Bhabha tragically passed away in an airplane crash in Switzerland on January 24, 1966.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/24jan/inshorts_image_1516779733722_587.jpg?resize=400px:*","https://www.indiatoday.in/education-today/gk-current-affairs/story/homi-jehangir-bhabha-956781-2017-01-24?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","xm9qqd0a-1"
"28","science","How were the monkeys cloned using 'Dolly the sheep' method?","Chinese researchers have successfully cloned two genetically identical macaque monkeys using somatic cell nuclear transfer, used to clone Dolly the sheep in 1996. The nuclei of eggs from a monkey were removed and fused with foetal cells from another monkey. Using the technique, 79 embryos were produced and implanted into 21 surrogates, resulting in six pregnancies and two successful births.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/25jan/inshorts_image_1516864257651_475.jpg?resize=400px:*","https://www.theguardian.com/science/2018/jan/24/zhong-zhong-and-hua-hua-first-primates-born-using-dolly-the-sheep-cloning-method?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle&utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","xm9qqd0a-1"
"29","science","Team unveils smallpox-like virus, triggers controversy","Canada-based researchers have presented their study on horsepox virus, which they claim could lead to a more effective vaccine against extinct smallpox. Critics have slammed the horsepox research saying the 'smallpox vaccine' justification doesn't make sense and it could lead to another outbreak. The team acknowledged human smallpox was eradicated 40 years ago but remains a public health concern.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/23jan/inshorts_image_1516686219203_823.jpg?resize=400px:*","https://www.folio.ca/creation-of-synthetic-horsepox-virus-could-lead-to-more-effective-smallpox-vaccine/?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle#pp-main ","xm9qqd0a-1"
"30","science","'World's smallest fly' named after Arnold Schwarzenegger","US-based scientist Brian Brown has discovered a new fly species in the Brazilian Amazon, which he named 'Megapropodiphora arnoldi' due to its enlarged forelegs. ""As soon as I saw those bulging legs, I knew I had to name this one after Arnold,"" said Brown. Brown also claimed his discovery as the world's smallest fly having 0.395 mm of body length.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/25jan/inshorts_image_1516872170124_225.jpg?resize=400px:*","https://phys.org/news/2018-01-big-armed-species-arnold-schwarzenegger.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","xm9qqd0a-1"
"31","science","Google's $30mn race to Moon ends after 10 yrs without winner","Google-funded $30 million-Lunar XPrize race to the Moon, which began 10 years ago, is set to end as no team will be able to make a launch attempt by the March 31 deadline. The competition was for privately-funded teams to be the first to land a robotic spacecraft on the Moon, travel 500 meters, and transmit data back to Earth.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/25jan/inshorts_image_1516863547415_186.jpg?resize=400px:*","https://techcrunch.com/2018/01/23/googles-lunar-xprize-to-go-unclaimed-as-moonshot-deadline-looms/?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","xm9qqd0a-1"
"32","science","New Zealand's first satellite to be visible to the naked eye","American aerospace startup Rocket Lab, earlier this week, launched New Zealand's first satellite 'Humanity Star', a sphere made with 65 reflective panels. Orbiting the Earth every 90 minutes, the satellite would be visible to the naked eye at night as it passes overhead. Rocket Lab described Humanity Star as ""a reminder to all about our fragile place in the universe.""","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/25jan/inshorts_image_1516878445838_869.jpg?resize=400px:*","http://www.thehumanitystar.com/?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","xm9qqd0a-1"
"33","science","Human skin pigmentation recreated with a 3D printer","In a bid to produce pigment-correct skin grafts, Singapore-based scientists have created human-like skin pigmentation using 3D bio-printing. The team used three different types of skin cells which control skin complexion, structure, and wound healing. Researchers said the method will be used to develop skin constructs for toxicology testing and fundamental cell biology research.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/25jan/inshorts_image_1516863574310_277.jpg?resize=400px:*","https://www.indiatoday.in/pti-feed/story/3d-printed-human-skin-pigmentation-created-1153080-2018-01-24?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","xm9qqd0a-1"
"34","science","ISRO releases images captured by India's 100th satellite","ISRO has released images captured by India's 100th satellite that was placed in orbit with 30 others by PSLV-C40 rocket on January 12. While the Microsat, a 100-kg class satellite, took an image of Gujarat's Porbandar (shown on the right), another nanosatellite INS-1C, third in its series, was used for mapping large areas of land (shown on the left).","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/24jan/inshorts_image_1516774019057_698.jpg?resize=400px:*","https://www.isro.gov.in/update/23-jan-2018/images-ins-1c-and-microsat?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","xm9qqd0a-1"
"35","science","Smart contact lens can detect blood sugar levels from tears","South Korean scientists have designed smart contact lens that could measure the wearer's glucose levels, without using needles. The prototype, so far been tested only in rabbits, has LED lights which flicker as embedded sensors detect high levels of glucose. The technique was however termed unreliable for diabetic patients by other researchers as tears don't accurately reflect body glucose levels.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/25jan/inshorts_image_1516867299524_205.jpg?resize=400px:*","https://www.theverge.com/2018/1/24/16929874/smart-contact-lens-glucose-blood-sugar-monitor-wireless-tears?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","xm9qqd0a-1"
"36","science","Changes in Mercury's orbit reveal an ageing Sun: NASA, MIT","NASA and MIT researchers studying Mercury, the closest planet to the Sun, have said its expanding orbit suggests weakening gravitational pull of the Sun as it ages and loses mass. However, researchers noted other factors impacting Mercury's orbit may include Einstein's theory of general relativity, where the Sun warps spacetime with its gravity, and also Sun's interior structure and dynamics.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/23jan/inshorts_image_1516705670182_457.jpg?resize=400px:*","https://www.hindustantimes.com/world-news/changes-in-mercury-s-orbit-reveal-an-ageing-sun/story-BAmhD4CRhunCRLRdXBh3aI.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","xm9qqd0a-1"
"37","science","As eyes move, eardrums move too, even without sounds: Study","US-based neuroscientists have found that keeping the head still and shifting eyes sparks vibrations in the eardrums, even in the absence of any sounds. Researchers found eardrum vibrations started slightly before the eyes move, indicating that ears and the eyes are controlled by the same motor commands in the brain. The findings were replicated in both humans and rhesus monkeys.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/24jan/inshorts_image_1516792461529_839.jpg?resize=400px:*","https://today.duke.edu/2018/01/when-eyes-move-eardrums-move-too?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","xm9qqd0a-1"
"38","science","1.7-billion-year-old part of Canada found stuck to Australia","Australia-based researchers have discovered rocks in Queensland bearing striking similarities to those found in Canada, suggesting that part of northern Australia was part of North America 1.7 billion years ago. Researchers suggested that Georgetown, originally part of North America, stuck to Australia as the supercontinent Nuna assembled, and then drifted away as Nuna broke later.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/23jan/inshorts_image_1516688681842_194.jpg?resize=400px:*","http://news.curtin.edu.au/media-releases/curtin-researchers-discover-piece-america-northern-australia/?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","xm9qqd0a-1"
"39","science","MIT's ultrathin needle can deliver drugs directly to brain","MIT researchers have devised a needle as thin as a human hair that can deliver tiny quantities of medicine to brain regions as small as 1 cubic millimetre. Targeted dosing could allow treating diseases that affect specific brain circuits, without interfering with other parts, researchers said. The system was tested on rats to force them to move in clockwise direction.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/25jan/inshorts_image_1516871046742_387.jpg?resize=400px:*","http://news.mit.edu/2018/ultrathin-needle-can-deliver-drugs-directly-brain-0124?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","xm9qqd0a-1"
"40","science","Scientists discover new catalyst for making plastic from CO2","Canada-based scientists have discovered a copper-based catalyst that converts carbon dioxide, a greenhouse gas, into ethylene for making polyethylene plastic. In presence of the catalyst, carbon dioxide can be reduced to useful chemicals by passing electrical current. Paired with carbon capture technology, it could lead to a green production mechanism for everyday plastics, noted researchers.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/23jan/inshorts_image_1516687171029_611.jpg?resize=400px:*","http://www.lightsource.ca/news/details/from_greenhouse_gases_to_plastics.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","xm9qqd0a-1"
"41","science","Scientists reconstruct face of 9,000-year-old Greek teenager","Scientists have reconstructed the face of a teenage girl named Dawn, whose remains dating to 7000 BC were discovered in a Greek cave in 1993. Dawn had a protruding jaw, thought to be caused by chewing animal skin. When asked why she appeared angry, a scientist joked, ""It's not possible for her not to be angry during such an era"".","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/24jan/inshorts_image_1516764267729_266.jpg?resize=400px:*","https://www.hindustantimes.com/world-news/scientists-reconstruct-face-of-9-000-year-old-greek-teenager/story-cF2KT0QDlmYvmlZullU1VL.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","xm9qqd0a-1"
"42","science","Einstein's note defending murder-accused friend up for sale","A US-based auction house has put on sale a letter by Albert Einstein defending his friend Friedrich Adler, who assassinated the Austrian Minister-President during World War I. ""Adler proved himself a goodhearted, conscientious man and it is my heartfelt desire to intercede for him,"" the physicist wrote to Michele Besso, the only other person credited in Einstein's paper on relativity. ","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/24jan/inshorts_image_1516798644041_191.jpg?resize=400px:*","https://natedsanders.com/LotDetail.aspx?inventoryid=48183&utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","xm9qqd0a-1"
"43","science","Renewable power may become cheaper than fossil fuels by 2020","According to the International Renewable Energy Agency, electricity from renewable sources will be cheaper than power from most fossil fuels by 2020. China served as a major contributor with average prices dropping from $0.43 per watt in 2016 to $0.3 in 2017. However, a 30% import duty on solar panels in the US would slow the process, the report noted.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/24jan/inshorts_image_1516778690740_303.jpg?resize=400px:*","https://www.engadget.com/2018/01/23/renewable-energy-may-be-cheaper-than-fossil-fuels-by-2020/?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","xm9qqd0a-1"
"44","science","PhD student wins 1 Bitcoin by hacking DNA","PhD student Sander Wuyts from Belgium has won a Bitcoin by deciphering a code concealed in a tube of DNA. The challenge was issued in January 2015, when 1 Bitcoin's worth was $220, however, it was completed recently when 1 Bitcoin's worth was over $11,000. The message concealed in the DNA contained instructions on how to claim the Bitcoin.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/24jan/inshorts_image_1516799755885_623.jpg?resize=400px:*","https://www.uantwerpen.be/popup/nieuwsonderdeel.aspx?newsitem_id=3173&c=HOMEEN&n=101352&utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","xm9qqd0a-1"
"45","science","Earth got water when it was 0.04% of current age: Study","A study of basaltic rocks called angrites has suggested that water was brought to the Earth by meteorites during the first two million years of the solar system, currently 4.6 billion years old. At that point, Earth was likely 20% of its current size whereas the parent asteroid of angrites had about 20% of Earth's current water content, said researchers.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/23jan/inshorts_image_1516691724504_285.jpg?resize=400px:*","https://phys.org/news/2018-01-meteorites-brought-earth-million-years.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","xm9qqd0a-1"
